year,sex,class,satfin,finalter
1972,female,working class,not satisfied at all,worse
1972,male,lower class,not satisfied at all,worse
1972,male,working class,not satisfied at all,worse
1972,female,working class,not satisfied at all,worse
1972,female,middle class,more or less satisfied,worse
1972,female,working class,not satisfied at all,better
1972,male,middle class,more or less satisfied,worse
1972,male,middle class,more or less satisfied,stayed same
1972,male,working class,more or less satisfied,better
1972,male,middle class,more or less satisfied,better
1972,female,working class,more or less satisfied,stayed same
1972,female,middle class,pretty well satisfied,better
1972,male,working class,pretty well satisfied,better
1972,female,upper class,more or less satisfied,stayed same
1972,male,middle class,not satisfied at all,worse
1972,female,working class,not satisfied at all,worse
1972,female,middle class,pretty well satisfied,stayed same
1972,male,middle class,more or less satisfied,better
1972,female,middle class,more or less satisfied,better
1972,female,middle class,pretty well satisfied,better
1972,female,middle class,more or less satisfied,better
1972,female,working class,more or less satisfied,better
1972,male,middle class,pretty well satisfied,better
1972,male,working class,more or less satisfied,worse
1972,male,middle class,pretty well satisfied,stayed same
1972,male,working class,not satisfied at all,worse
1972,male,middle class,pretty well satisfied,better
1972,female,working class,more or less satisfied,stayed same
1972,female,working class,more or less satisfied,better
1972,male,middle class,pretty well satisfied,better
1972,female,working class,more or less satisfied,stayed same
1972,female,middle class,more or less satisfied,stayed same
1972,male,working class,more or less satisfied,stayed same
1972,male,middle class,pretty well satisfied,stayed same
1972,male,working class,pretty well satisfied,stayed same
1972,male,middle class,pretty well satisfied,better
1972,male,middle class,more or less satisfied,stayed same
1972,female,middle class,pretty well satisfied,better
1972,female,working class,pretty well satisfied,stayed same
1972,female,middle class,not satisfied at all,worse
1972,female,middle class,pretty well satisfied,better
1972,male,middle class,more or less satisfied,better
1972,female,middle class,more or less satisfied,
1972,female,middle class,more or less satisfied,better
1972,female,middle class,more or less satisfied,better
1972,male,working class,not satisfied at all,worse
1972,male,working class,pretty well satisfied,better
1972,male,middle class,more or less satisfied,better
1972,male,working class,not satisfied at all,better
1972,female,working class,more or less satisfied,worse
1972,male,middle class,not satisfied at all,stayed same
1972,female,working class,pretty well satisfied,better
1972,male,working class,more or less satisfied,stayed same
1972,male,lower class,more or less satisfied,worse
1972,male,lower class,more or less satisfied,worse
1972,female,lower class,more or less satisfied,better
1972,female,working class,not satisfied at all,worse
1972,female,lower class,pretty well satisfied,stayed same
1972,female,middle class,more or less satisfied,better
1972,male,working class,more or less satisfied,better
1972,female,working class,more or less satisfied,worse
1972,male,middle class,pretty well satisfied,stayed same
1972,male,middle class,more or less satisfied,
1972,male,middle class,not satisfied at all,stayed same
1972,male,middle class,more or less satisfied,stayed same
1972,female,working class,more or less satisfied,better
1972,female,working class,not satisfied at all,stayed same
1972,female,working class,more or less satisfied,better
1972,female,middle class,more or less satisfied,stayed same
1972,male,middle class,not satisfied at all,stayed same
1972,male,middle class,more or less satisfied,stayed same
1972,male,working class,pretty well satisfied,better
1972,female,middle class,not satisfied at all,stayed same
1972,male,middle class,not satisfied at all,better
1972,female,middle class,not satisfied at all,better
1972,male,middle class,pretty well satisfied,better
1972,female,middle class,pretty well satisfied,better
1972,male,working class,more or less satisfied,better
1972,male,working class,more or less satisfied,worse
1972,female,working class,more or less satisfied,stayed same
1972,female,upper class,not satisfied at all,worse
1972,female,upper class,pretty well satisfied,stayed same
1972,male,working class,not satisfied at all,worse
1972,female,middle class,pretty well satisfied,stayed same
1972,female,middle class,pretty well satisfied,stayed same
1972,male,middle class,not satisfied at all,worse
1972,male,working class,more or less satisfied,better
1972,female,middle class,not satisfied at all,stayed same
1972,male,middle class,more or less satisfied,better
1972,female,working class,more or less satisfied,stayed same
1972,female,lower class,not satisfied at all,worse
1972,female,working class,pretty well satisfied,better
1972,female,working class,not satisfied at all,better
1972,female,lower class,pretty well satisfied,stayed same
1972,male,lower class,more or less satisfied,stayed same
1972,male,lower class,pretty well satisfied,worse
1972,male,working class,more or less satisfied,better
1972,male,working class,not satisfied at all,stayed same
1972,male,working class,more or less satisfied,better
1972,male,middle class,more or less satisfied,worse
1972,male,middle class,more or less satisfied,better
1972,male,middle class,pretty well satisfied,better
1972,male,middle class,more or less satisfied,better
1972,female,middle class,more or less satisfied,stayed same
1972,female,working class,pretty well satisfied,stayed same
1972,female,middle class,pretty well satisfied,better
1972,female,middle class,pretty well satisfied,better
1972,female,,pretty well satisfied,stayed same
1972,male,working class,more or less satisfied,better
1972,female,middle class,pretty well satisfied,stayed same
1972,female,working class,pretty well satisfied,better
1972,male,middle class,pretty well satisfied,better
1972,female,middle class,pretty well satisfied,better
1972,male,working class,pretty well satisfied,better
1972,male,working class,not satisfied at all,worse
1972,male,middle class,pretty well satisfied,stayed same
1972,male,middle class,pretty well satisfied,stayed same
1972,male,middle class,more or less satisfied,worse
1972,female,working class,more or less satisfied,better
1972,female,middle class,pretty well satisfied,better
1972,female,working class,more or less satisfied,better
1972,female,middle class,not satisfied at all,worse
1972,male,working class,pretty well satisfied,stayed same
